check,reported,recomputed,abs_diff,match
ext_supp_QWK::setB__1macula::qat_int8::seed3407,0.66680241,0.66680241,0.0,True
ext_supp_QWK::setB__1macula::qat_int8::seed42,0.67234269,0.67234269,0.0,True
ext_supp_QWK::setB__1macula::qat_int8::seed8888,0.70701791,0.70701791,0.0,True
ext_supp_QWK::setB__1macula::teacher::seed-,0.78696584,0.78696584,0.0,True
ext_supp_QWK::setC__1disc::best_fp32::seed123,0.65207632,0.65207632,0.0,True
ext_supp_QWK::setC__1disc::best_fp32::seed2026,0.63784792,0.63784792,0.0,True
ext_supp_QWK::setC__1disc::best_fp32::seed3407,0.7388166,0.7388166,0.0,True
ext_supp_QWK::setC__1disc::best_fp32::seed42,0.65657415,0.65657415,0.0,True
ext_supp_QWK::setC__1disc::best_fp32::seed8888,0.6871881,0.6871881,0.0,True
ext_supp_QWK::setC__1disc::csd_fp32::seed123,0.65207632,0.65207632,0.0,True
ext_supp_QWK::setC__1disc::csd_fp32::seed2026,0.63784792,0.63784792,0.0,True
ext_supp_QWK::setC__1disc::csd_fp32::seed3407,0.7388166,0.7388166,0.0,True
ext_supp_QWK::setC__1disc::csd_fp32::seed42,0.65657415,0.65657415,0.0,True
ext_supp_QWK::setC__1disc::csd_fp32::seed8888,0.6871881,0.6871881,0.0,True
ext_supp_QWK::setC__1disc::fp32_ft_control::seed123,0.63804116,0.63804116,0.0,True
ext_supp_QWK::setC__1disc::fp32_ft_control::seed2026,0.64879502,0.64879502,0.0,True
ext_supp_QWK::setC__1disc::fp32_ft_control::seed3407,0.706543,0.706543,0.0,True
ext_supp_QWK::setC__1disc::fp32_ft_control::seed42,0.62578465,0.62578465,0.0,True
ext_supp_QWK::setC__1disc::fp32_ft_control::seed8888,0.67677319,0.67677319,0.0,True
ext_supp_QWK::setC__1disc::ft_ptq_int8::seed123,0.64635539,0.64635539,0.0,True
ext_supp_QWK::setC__1disc::ft_ptq_int8::seed2026,0.60125635,0.60125635,0.0,True
ext_supp_QWK::setC__1disc::ft_ptq_int8::seed3407,0.69236779,0.69236779,0.0,True
ext_supp_QWK::setC__1disc::ft_ptq_int8::seed42,0.64277982,0.64277982,0.0,True
ext_supp_QWK::setC__1disc::ft_ptq_int8::seed8888,0.67627886,0.67627886,0.0,True
ext_supp_QWK::setC__1disc::ptq_int8::seed123,0.64969992,0.64969992,0.0,True
ext_supp_QWK::setC__1disc::ptq_int8::seed2026,0.67563271,0.67563271,0.0,True
ext_supp_QWK::setC__1disc::ptq_int8::seed3407,0.72174709,0.72174709,0.0,True
ext_supp_QWK::setC__1disc::ptq_int8::seed42,0.64235624,0.64235624,0.0,True
ext_supp_QWK::setC__1disc::ptq_int8::seed8888,0.69875815,0.69875815,0.0,True
ext_supp_QWK::setC__1disc::qat_int8::seed123,0.64327888,0.64327888,0.0,True
ext_supp_QWK::setC__1disc::qat_int8::seed2026,0.58660791,0.58660791,0.0,True
ext_supp_QWK::setC__1disc::qat_int8::seed3407,0.64981692,0.64981692,0.0,True
ext_supp_QWK::setC__1disc::qat_int8::seed42,0.60893006,0.60893006,0.0,True
ext_supp_QWK::setC__1disc::qat_int8::seed8888,0.66085728,0.66085728,0.0,True
ext_supp_QWK::setC__1disc::teacher::seed-,0.77937121,0.77937121,0.0,True
ext_QWK::setC__1macula::best_fp32::seed123,0.65047014,0.65047014,0.0,True
ext_QWK::setC__1macula::best_fp32::seed2026,0.64353163,0.64353163,0.0,True
ext_QWK::setC__1macula::best_fp32::seed3407,0.7298198,0.7298198,0.0,True
ext_QWK::setC__1macula::best_fp32::seed42,0.62818004,0.62818004,0.0,True
ext_QWK::setC__1macula::best_fp32::seed8888,0.69214311,0.69214311,0.0,True
ext_QWK::setC__1macula::csd_fp32::seed123,0.65047014,0.65047014,0.0,True
ext_QWK::setC__1macula::csd_fp32::seed2026,0.64353163,0.64353163,0.0,True
ext_QWK::setC__1macula::csd_fp32::seed3407,0.7298198,0.7298198,0.0,True
ext_QWK::setC__1macula::csd_fp32::seed42,0.62818004,0.62818004,0.0,True
ext_QWK::setC__1macula::csd_fp32::seed8888,0.69214311,0.69214311,0.0,True
ext_QWK::setC__1macula::fp32_ft_control::seed123,0.63342419,0.63342419,0.0,True
ext_QWK::setC__1macula::fp32_ft_control::seed2026,0.62793764,0.62793764,0.0,True
ext_QWK::setC__1macula::fp32_ft_control::seed3407,0.70195925,0.70195925,0.0,True
ext_QWK::setC__1macula::fp32_ft_control::seed42,0.62971926,0.62971926,0.0,True
ext_QWK::setC__1macula::fp32_ft_control::seed8888,0.69065156,0.69065156,0.0,True
ext_QWK::setC__1macula::ft_ptq_int8::seed123,0.64249481,0.64249481,0.0,True
ext_QWK::setC__1macula::ft_ptq_int8::seed2026,0.60907148,0.60907148,0.0,True
ext_QWK::setC__1macula::ft_ptq_int8::seed3407,0.69344791,0.69344791,0.0,True
ext_QWK::setC__1macula::ft_ptq_int8::seed42,0.64363706,0.64363706,0.0,True
ext_QWK::setC__1macula::ft_ptq_int8::seed8888,0.66791925,0.66791925,0.0,True
ext_QWK::setC__1macula::ptq_int8::seed123,0.64198062,0.64198062,0.0,True
ext_QWK::setC__1macula::ptq_int8::seed2026,0.6738094,0.6738094,0.0,True
ext_QWK::setC__1macula::ptq_int8::seed3407,0.71972552,0.71972552,0.0,True
ext_QWK::setC__1macula::ptq_int8::seed42,0.63251697,0.63251697,0.0,True
ext_QWK::setC__1macula::ptq_int8::seed8888,0.6962858,0.6962858,0.0,True
ext_QWK::setC__1macula::qat_int8::seed123,0.63240736,0.63240736,0.0,True
ext_QWK::setC__1macula::qat_int8::seed2026,0.59147026,0.59147026,0.0,True
ext_QWK::setC__1macula::qat_int8::seed3407,0.66063628,0.66063628,0.0,True
ext_QWK::setC__1macula::qat_int8::seed42,0.6159601,0.6159601,0.0,True
ext_QWK::setC__1macula::qat_int8::seed8888,0.67164593,0.67164593,0.0,True
ext_QWK::setC__1macula::teacher::seed-,0.79225404,0.79225404,0.0,True
